"Geslacht";"Leeftijd";"Burgerlijke staat";"Perioden";"Bevolking (aantal)"
"Mannen";"0 jaar";"Totaal burgerlijke staat";"2019";86173
"Mannen";"1 jaar";"Totaal burgerlijke staat";"2019";87646
"Mannen";"2 jaar";"Totaal burgerlijke staat";"2019";89405
"Mannen";"3 jaar";"Totaal burgerlijke staat";"2019";89102
"Mannen";"4 jaar";"Totaal burgerlijke staat";"2019";91332
"Mannen";"5 jaar";"Totaal burgerlijke staat";"2019";89987
"Mannen";"6 jaar";"Totaal burgerlijke staat";"2019";92277
"Mannen";"7 jaar";"Totaal burgerlijke staat";"2019";94365
"Mannen";"8 jaar";"Totaal burgerlijke staat";"2019";96472
"Mannen";"9 jaar";"Totaal burgerlijke staat";"2019";97132
"Mannen";"10 jaar";"Totaal burgerlijke staat";"2019";97532
"Mannen";"11 jaar";"Totaal burgerlijke staat";"2019";95272
"Mannen";"12 jaar";"Totaal burgerlijke staat";"2019";97500
"Mannen";"13 jaar";"Totaal burgerlijke staat";"2019";98249
"Mannen";"14 jaar";"Totaal burgerlijke staat";"2019";100978
"Mannen";"15 jaar";"Totaal burgerlijke staat";"2019";104654
"Mannen";"16 jaar";"Totaal burgerlijke staat";"2019";105283
"Mannen";"17 jaar";"Totaal burgerlijke staat";"2019";106599
"Mannen";"18 jaar";"Totaal burgerlijke staat";"2019";110582
"Mannen";"19 jaar";"Totaal burgerlijke staat";"2019";111186
"Mannen";"20 jaar";"Totaal burgerlijke staat";"2019";111172
"Mannen";"21 jaar";"Totaal burgerlijke staat";"2019";107639
"Mannen";"22 jaar";"Totaal burgerlijke staat";"2019";108437
"Mannen";"23 jaar";"Totaal burgerlijke staat";"2019";108668
"Mannen";"24 jaar";"Totaal burgerlijke staat";"2019";112366
"Mannen";"25 jaar";"Totaal burgerlijke staat";"2019";112519
"Mannen";"26 jaar";"Totaal burgerlijke staat";"2019";114023
"Mannen";"27 jaar";"Totaal burgerlijke staat";"2019";115150
"Mannen";"28 jaar";"Totaal burgerlijke staat";"2019";115895
"Mannen";"29 jaar";"Totaal burgerlijke staat";"2019";111484
"Mannen";"30 jaar";"Totaal burgerlijke staat";"2019";110475
"Mannen";"31 jaar";"Totaal burgerlijke staat";"2019";110641
"Mannen";"32 jaar";"Totaal burgerlijke staat";"2019";109358
"Mannen";"33 jaar";"Totaal burgerlijke staat";"2019";107200
"Mannen";"34 jaar";"Totaal burgerlijke staat";"2019";105701
"Mannen";"35 jaar";"Totaal burgerlijke staat";"2019";102432
"Mannen";"36 jaar";"Totaal burgerlijke staat";"2019";102842
"Mannen";"37 jaar";"Totaal burgerlijke staat";"2019";103933
"Mannen";"38 jaar";"Totaal burgerlijke staat";"2019";105652
"Mannen";"39 jaar";"Totaal burgerlijke staat";"2019";101876
"Mannen";"40 jaar";"Totaal burgerlijke staat";"2019";101698
"Mannen";"41 jaar";"Totaal burgerlijke staat";"2019";99964
"Mannen";"42 jaar";"Totaal burgerlijke staat";"2019";101409
"Mannen";"43 jaar";"Totaal burgerlijke staat";"2019";101479
"Mannen";"44 jaar";"Totaal burgerlijke staat";"2019";105910
"Mannen";"45 jaar";"Totaal burgerlijke staat";"2019";109548
"Mannen";"46 jaar";"Totaal burgerlijke staat";"2019";118352
"Mannen";"47 jaar";"Totaal burgerlijke staat";"2019";124918
"Mannen";"48 jaar";"Totaal burgerlijke staat";"2019";130255
"Mannen";"49 jaar";"Totaal burgerlijke staat";"2019";133467
"Mannen";"50 jaar";"Totaal burgerlijke staat";"2019";127729
"Mannen";"51 jaar";"Totaal burgerlijke staat";"2019";126713
"Mannen";"52 jaar";"Totaal burgerlijke staat";"2019";127228
"Mannen";"53 jaar";"Totaal burgerlijke staat";"2019";129271
"Mannen";"54 jaar";"Totaal burgerlijke staat";"2019";131046
"Mannen";"55 jaar";"Totaal burgerlijke staat";"2019";128690
"Mannen";"56 jaar";"Totaal burgerlijke staat";"2019";125429
"Mannen";"57 jaar";"Totaal burgerlijke staat";"2019";123795
"Mannen";"58 jaar";"Totaal burgerlijke staat";"2019";120078
